Rank,Nickname,Points
1077	estguy	4960
1078	.:JeT:.	4956
1079	[D]FiL	4955
1080	Savage:*	4954
1081	eXirus	4954
1082	Kurama Nr 9	4953
1083	Derk	4940
1084	[...(-.-)...] J	4940
1085	Rui	4940
1086	Lags	4932
1087	ProDiCaL	4924
1088	JOJO	4924
1089	Maddin	4921
1090	Auftragsmöwe	4917
1091	Khejanin	4916
1092	Kiewiet	4914
1093	Gorilla	4913
1094	Ɍøηɋȵ	4900
1095	D3H8|Ruiner	4899
1096	Axaris	4882
1097	躺好鸭	4882
1098	Lala	4881
1099	*LooGiaH.	4874
1100	ZP|SplashFace'	4873
1101	;D	4870
1102	namе	4870
1103	take it easy	4869
1104	Pastèque	4863
1105	NiC0_99	4858
1106	088	4852
1107	LiiThO	4851
1108	Dazz	4826
1109	ne Armin	4823
1110	lll	4821
1111	f8702111	4816
1112	saouwi	4810
1113	Over	4804
1114	yolo	4798
1115	Vega	4793
1116	cc	4789
1117	谢佬	4787
1118	[<3]LibertY	4785
1119	Rub01	4785
1120	JOYSOYUM	4782
1121	Captain Teemo	4781
1122	Rathonzita	4781
1123	Marcell	4777
1124	DaRK| Do6pb|u^	4774
1125	[♥★♥]	4774
1126	JabberWock	4773
1127	[D] Xploit	4773
1128	{    }	4770
1129	Hallo	4769
1130	Feodal	4767
1131	Doja Cat	4767
1132	♆ Deejay ♆	4767
1133	清欢渡	4764
1134	可鲁克吖	4761
1135	Chillbreaker	4759
1136	MMilos	4758
1137	Pichu	4744
1138	SepaHero	4744
1139	一飞	4743
1140	Brainless	4740
1141	自行车	4740
1142	Immortal	4736
1143	Emp	4734
1144	seLFiii <33	4733
1145	Honky_Tonk_Man	4727
1146	darkfeather	4726
1147	procrastinate	4724
1148	SpaCe_|rus|	4723
1149	3oLoTo	4722
1150	brownie_fresser	4716
1151	Никита	4708
1152	Exi :J	4706
1153	Prozzle	4704
1154	Rone_	4700
1155	KAAN	4693
1156	Fasterbru	4692
1157	mamuel	4690
1158	Luk4s	4685
1159	见谁坑谁	4685
1160	任然	4679
1161	ShelzyMadara	4678
1162	WinstonW5	4677
1163	bai	4676
1164	Dám7	4672
1165	Devil	4671
1166	Hakuna Matata	4668
1167	Yashicat	4665
1168	Sodkar	4663
1169	florekk	4659
1170	Savander	4658
1171	刀刀	4656
1172	Maethorion	4650
1173	Lancer	4650
1174	Cactus	4648
1175	Snark	4646
1176	Amynic	4645
1177	Bambino	4644
1178	walala	4636
1179	Work	4635
1180	6elojopik	4635
1181	Scaar	4631
1182	Nigglet	4625
1183	Anomynous	4618
1184	Nõ GõõD «È	4617
1185	Zeral	4616
1186	ulit-ulit	4615
1187	Chill [TD]	4613
1188	•	4613
1189	roor48	4613
1190	lost	4609
1191	Styx	4603
1192	Deril	4602
1193	Genefest	4595
1194	Chao	4591
1195	GfFhgh	4588
1196	dummy	4587
1197	MaCRoYale	4587
1198	TϞΩR	4586
1199	KOMПOT	4583
1200	hellboy	4581
1201	Dubstep	4579
1202	yunduna	4573
1203	Mosey	4571
1204	Acrolol	4563
1205	Liesus	4563
1206	弟中弟O3O	4560
1207	bluekitty	4559
1208	Rotator	4556
1209	ZenMaster	4552
1210	archimede67	4547
1211	MisterX	4546
1212	Pear Bloom	4546
1213	救援队1号	4545
1214	Zubastik	4541
1215	yxy	4540
1216	DickHead	4537
1217	BAKANOBAKU	4535
1218	Artich	4534
1219	Ceearw	4533
1220	J$ON	4533
1221	CraCk	4528
1222	公仔	4525
1223	Intlige_K@1997	4520
1224	jette	4513
1225	another	4513
1226	Leonidas	4512
1227	2.0|Knuckle :3	4510
1228	Skai	4510
1229	Wei_Wei	4510
1230	faruki88	4507
1231	Timbo	4501
1232	孤岛	4490
1233	SirVivi	4487
1234	xzxzx	4485
1235	Veers	4483
1236	-$-Ãim41Ҝ-$-	4483
1237	Towa	4481
1238	oBc.Laki	4472
1239	Eratyck	4470
1240	Crayonic	4467
1241	Koala.<3	4464
1242	dope	4463
1243	Vik_Thor	4459
1244	mgarc	4455
1245	Monkey D. Luffy	4452
1246	Cooper	4449
1247	Chano	4449
1248	Zer0o0	4446
